image_name,tags
train_0.jpg,haze primary
train_1.jpg,agriculture clear primary water
train_2.jpg,clear primary
train_3.jpg,clear primary
train_4.jpg,agriculture clear habitation primary road
train_5.jpg,haze primary water
train_6.jpg,agriculture clear cultivation primary water
train_7.jpg,haze primary
train_8.jpg,agriculture clear cultivation primary
train_9.jpg,agriculture clear cultivation primary road
train_10.jpg,agriculture clear primary slash_burn water
train_11.jpg,clear primary water
train_12.jpg,cloudy
train_13.jpg,clear primary
train_14.jpg,cloudy
train_15.jpg,clear primary
train_16.jpg,clear primary
train_17.jpg,partly_cloudy primary
train_18.jpg,clear primary
train_19.jpg,agriculture clear primary road
